time,signal
0.0000,0.00000000
0.0100,0.62570646
0.0200,0.85746489
0.0300,0.72197553
0.0400,0.60725598
0.0500,0.79427516
0.0600,1.11967030
0.0700,1.15832635
0.0800,0.71662885
0.0900,0.06942551
0.1000,-0.33286978
0.1100,-0.35288363
0.1200,-0.29227048
0.1300,-0.51350222
0.1400,-0.99492315
0.1500,-1.33286978
0.1600,-1.19064800
0.1700,-0.68017340
0.1800,-0.23847590
0.1900,-0.14040321
0.2000,-0.20572484
0.2100,-0.03478354
0.2200,0.50074379
0.2300,1.07869663
0.2400,1.26774598
0.2500,1.00000000
0.2600,0.63436705
0.2700,0.53933736
0.2800,0.67482671
0.2900,0.65281753
0.3000,0.20572484
0.3100,-0.47763078
0.3200,-0.93709461
0.3300,-0.93786059
0.3400,-0.71146503
0.3500,-0.66713022
0.3600,-0.90718988
0.3700,-1.10453177
0.3800,-0.88330003
0.3900,-0.26515036
0.4000,0.33286978
0.4100,0.54860848
0.4200,0.45894166
0.4300,0.45970764
0.4400,0.78244273
0.4500,1.20572484
0.4600,1.29485705
0.4700,0.89605845
0.4800,0.31810562
0.4900,-0.00767247
0.5000,-0.00000000
0.5100,0.00767247
0.5200,-0.31810562
0.5300,-0.89605845
0.5400,-1.29485705
0.5500,-1.20572484
0.5600,-0.78244273
0.5700,-0.45970764
0.5800,-0.45894166
0.5900,-0.54860848
0.6000,-0.33286978
0.6100,0.26515036
0.6200,0.88330003
0.6300,1.10453177
0.6400,0.90718988
0.6500,0.66713022
0.6600,0.71146503
0.6700,0.93786059
0.6800,0.93709461
0.6900,0.47763078
0.7000,-0.20572484
0.7100,-0.65281753
0.7200,-0.67482671
0.7300,-0.53933736
0.7400,-0.63436705
0.7500,-1.00000000
0.7600,-1.26774598
0.7700,-1.07869663
0.7800,-0.50074379
0.7900,0.03478354
0.8000,0.20572484
0.8100,0.14040321
0.8200,0.23847590
0.8300,0.68017340
0.8400,1.19064800
0.8500,1.33286978
0.8600,0.99492315
0.8700,0.51350222
0.8800,0.29227048
0.8900,0.35288363
0.9000,0.33286978
0.9100,-0.06942551
0.9200,-0.71662885
0.9300,-1.15832635
0.9400,-1.11967030
0.9500,-0.79427516
0.9600,-0.60725598
0.9700,-0.72197553
0.9800,-0.85746489
0.9900,-0.62570646
1.0000,-0.00000000
1.0100,0.62570646
1.0200,0.85746489
1.0300,0.72197553
1.0400,0.60725598
1.0500,0.79427516
1.0600,1.11967030
1.0700,1.15832635
1.0800,0.71662885
1.0900,0.06942551
1.1000,-0.33286978
1.1100,-0.35288363
1.1200,-0.29227048
1.1300,-0.51350222
1.1400,-0.99492315
1.1500,-1.33286978
1.1600,-1.19064800
1.1700,-0.68017340
1.1800,-0.23847590
1.1900,-0.14040321
1.2000,-0.20572484
1.2100,-0.03478354
1.2200,0.50074379
1.2300,1.07869663
1.2400,1.26774598
1.2500,1.00000000
1.2600,0.63436705
1.2700,0.53933736
1.2800,0.67482671
1.2900,0.65281753
1.3000,0.20572484
1.3100,-0.47763078
1.3200,-0.93709461
1.3300,-0.93786059
1.3400,-0.71146503
1.3500,-0.66713022
1.3600,-0.90718988
1.3700,-1.10453177
1.3800,-0.88330003
1.3900,-0.26515036
1.4000,0.33286978
1.4100,0.54860848
1.4200,0.45894166
1.4300,0.45970764
1.4400,0.78244273
1.4500,1.20572484
1.4600,1.29485705
1.4700,0.89605845
1.4800,0.31810562
1.4900,-0.00767247
1.5000,0.00000000
1.5100,0.00767247
1.5200,-0.31810562
1.5300,-0.89605845
1.5400,-1.29485705
1.5500,-1.20572484
1.5600,-0.78244273
1.5700,-0.45970764
1.5800,-0.45894166
1.5900,-0.54860848
1.6000,-0.33286978
1.6100,0.26515036
1.6200,0.88330003
1.6300,1.10453177
1.6400,0.90718988
1.6500,0.66713022
1.6600,0.71146503
1.6700,0.93786059
1.6800,0.93709461
1.6900,0.47763078
1.7000,-0.20572484
1.7100,-0.65281753
1.7200,-0.67482671
1.7300,-0.53933736
1.7400,-0.63436705
1.7500,-1.00000000
1.7600,-1.26774598
1.7700,-1.07869663
1.7800,-0.50074379
1.7900,0.03478354
1.8000,0.20572484
1.8100,0.14040321
1.8200,0.23847590
1.8300,0.68017340
1.8400,1.19064800
1.8500,1.33286978
1.8600,0.99492315
1.8700,0.51350222
1.8800,0.29227048
1.8900,0.35288363
1.9000,0.33286978
1.9100,-0.06942551
1.9200,-0.71662885
1.9300,-1.15832635
1.9400,-1.11967030
1.9500,-0.79427516
1.9600,-0.60725598
1.9700,-0.72197553
1.9800,-0.85746489
1.9900,-0.62570646
